CMB31.Poly	CMB9.Poly	Ctrl6.Poly	CX2.Poly	EV12.Poly	CMB8.Poly	Ctrl33.Poly	Ctrl38.Poly	EV26.Poly	EV4.Poly	CX14.Poly	CX39.Poly
Lgr5	993	1089	168	1303	352	818	147	121	238	336	1491	1964
Lgr6	208	119	230	29	46	17	178	118	22	82	287	213
Lgsn	0	0	0	0	0	0	0	0	0	0	0	0
Lhb	0	0	3	1	0	0	0	2	2	1	6	4
Lhcgr	0	0	0	0	0	0	0	0	0	0	0	0
Lhfp	4	2	9	1	4	2	7	0	11	2	9	12
Lhfpl1	0	0	0	1	0	0	0	0	0	0	0	0
Lhfpl2	1	1	1	1	0	0	0	1	2	0	0	0
Lhfpl4	4	1	8	3	16	5	4	5	9	19	9	14
Lhfpl5	0	0	0	0	0	0	0	0	0	0	0	0
Lhpp	170	155	109	137	185	93	137	97	108	118	348	337
Lhx1	0	0	1	0	0	0	0	0	0	0	0	0
Lhx1os	3	0	0	0	0	0	0	0	0	0	0	0
Lhx2	88	79	12	106	84	54	10	7	24	19	232	328
Lhx3	0	0	0	0	0	0	0	0	0	0	0	1
Lhx4	2	0	0	0	0	0	1	0	0	0	1	0
Lhx5	2	0	3	1	2	1	0	0	1	0	1	0
Lhx6	0	3	3	11	26	8	10	8	19	12	3	2
Lhx8	0	0	0	0	0	0	0	0	0	0	0	0
Lhx9	2	0	0	2	0	1	0	0	0	3	1	0
Lias	656	811	474	528	567	388	536	463	406	379	752	909
Lif	0	0	0	0	2	0	0	0	0	0	0	0
Lifr	5	26	18	20	25	14	40	27	9	15	24	20
Lig1	5741	4098	5306	4858	6050	4316	4921	4102	4380	3907	7409	8655
Lig3	2428	2085	2412	2354	2820	1717	2064	1700	1689	1453	2966	3794
Lig4	911	447	896	461	520	395	894	721	536	646	693	915
Lilra5	0	0	0	0	0	0	0	0	0	0	0	0
Lilra6	1	0	0	0	1	0	0	2	1	1	0	0
Lilrb4	0	0	0	0	0	0	2	0	0	0	0	0
Lim2	0	0	0	0	0	0	0	0	0	0	0	0
Lima1	31	30	7	9	11	12	0	2	0	13	49	69
Limch1	2	1	0	3	3	0	2	1	1	0	4	6
Limd1	4336	3547	4808	4408	5999	2774	4437	3838	3984	3670	6414	7848
Limd2	2899	3181	1411	3090	3469	2637	1592	1261	1689	1600	4720	5440
Lime1	4	2	0	3	14	3	2	2	1	0	5	3
Limk1	1222	1098	1857	1307	2325	607	1558	1210	1236	1168	2246	2902
Limk2	1624	1232	1263	1579	2118	1314	1224	918	1389	1232	2602	3310
Lims1	626	449	755	610	754	417	763	670	574	577	981	1242
Lims2	2	1	0	0	0	0	4	0	1	0	0	0
Lin28a	0	0	0	0	1	0	0	0	0	0	0	0
Lin28b	2	0	0	0	0	0	1	0	0	0	0	0
Lin37	210	181	265	278	311	166	254	223	198	211	263	323
Lin52	122	82	165	134	158	103	150	100	134	110	138	232
Lin54	433	553	903	720	798	278	605	513	500	462	386	625
Lin7a	1	0	1	0	0	1	1	0	0	1	0	0
Lin7b	0	0	0	0	0	0	2	0	0	0	0	6
Lin7c	2963	2330	3299	3603	3377	1808	2713	2483	2565	2398	1645	2108
Lin9	463	335	679	579	667	284	561	544	410	520	362	566
Lincenc1	0	0	0	0	0	0	0	0	1	0	0	0
Lincpint	5	13	5	10	25	13	3	1	6	3	0	0
Lingo1	0	0	0	0	0	0	0	0	0	0	0	0
Lingo2	0	0	0	0	0	0	0	1	0	0	0	0
Lingo3	74	80	2	129	38	96	7	0	2	11	375	560
Lingo4	1	0	0	0	0	0	0	0	0	0	0	0
Lins	183	142	115	171	197	121	161	136	136	108	220	331
Lipa	282	255	468	404	442	236	414	374	299	249	346	489
Lipc	0	0	0	0	0	0	0	2	0	0	0	0
Lipe	345	324	304	332	420	279	247	255	242	251	472	547
Lipf	0	0	0	0	0	0	0	0	0	0	0	0
Lipg	5	19	15	8	8	8	22	15	20	18	13	23
Liph	0	0	0	0	2	2	4	1	1	0	2	0
Lipi	0	1	2	0	3	0	0	0	0	0	0	1
Lipk	0	0	0	0	0	0	0	0	0	0	0	0
Lipm	0	0	0	0	0	0	0	0	0	0	0	0
Lipn	1	0	0	0	1	0	0	0	0	0	0	0
Lipo1	51	2	206	47	17	4	178	132	5	169	125	196
Lipo2	13	2	27	14	10	11	21	24	2	28	18	35
Lipo4	0	0	1	0	0	0	4	0	0	2	3	9
Lipt1	104	80	134	89	105	87	91	89	62	65	81	120
Lipt2	103	123	158	151	174	110	108	110	155	121	240	286
Litaf	329	228	1008	377	591	219	1063	813	413	580	405	526
Lix1	13	24	13	13	20	6	6	3	4	11	43	43
Lix1l	60	59	64	73	113	28	55	36	30	33	164	178
Lkaaear1	1	4	0	1	2	0	1	0	1	0	0	0
Llgl1	2031	1515	1386	1345	1973	1180	1005	776	1093	1051	2470	2615
Llgl2	138	89	193	162	254	93	131	103	97	126	268	369
Llph	810	724	855	944	1000	535	830	677	635	677	845	934
Llph-ps1	99	88	96	85	117	74	84	72	93	72	0	0
Llph-ps2	353	271	413	446	459	248	353	269	328	286	0	0
Lman1	1942	1921	2949	2391	2880	1237	2983	2585	1816	1677	2096	2927
Lman1l	1	0	0	0	2	1	0	0	0	0	0	1
Lman2	5326	4527	4608	4858	6040	3322	4680	3494	3765	3190	10082	11703
Lman2l	300	212	206	233	310	199	301	235	184	176	412	586
Lmbr1	11	25	7	12	58	6	15	16	56	15	27	25
Lmbr1l	209	210	180	220	390	164	154	100	171	175	631	882
Lmbrd1	1165	1114	1433	1560	998	1190	1075	1050	653	865	1280	1678
Lmbrd2	372	320	505	507	407	269	368	354	299	339	566	756
Lmcd1	0	0	0	0	1	0	0	0	0	0	0	0
Lmf1	378	431	422	354	533	330	393	318	346	296	700	872
Lmf2	1374	1071	1329	1129	1584	853	1282	1118	931	823	1374	1552
Lmln	75	55	58	50	69	24	59	26	22	43	115	143
Lmna	3	8	2	4	2	4	3	0	1	1	25	27
Lmnb1	11298	8009	11040	8851	10996	5847	8412	7530	6221	6123	12813	14698
Lmnb2	3757	2925	3096	2343	3740	1856	2391	2170	2184	2010	4436	5019
Lmntd1	0	0	0	0	1	0	0	2	0	0	0	0
Lmntd2	2	0	3	3	5	0	5	0	2	2	0	0
Lmo1	0	0	0	0	0	0	0	0	0	0	0	0
Lmo2	271	513	976	833	809	456	944	742	289	505	540	677
Lmo3	0	0	0	0	0	0	0	0	0	0	0	0
Lmo4	8547	7478	2935	7179	6406	5197	2489	2126	3181	3560	3000	3771
Lmo7	24	23	1	3	34	13	1	6	3	12	6	6
Lmod1	0	1	0	0	0	0	0	0	0	0	0	0
Lmod2	0	0	0	0	0	1	0	0	0	0	0	1
Lmod3	0	0	0	1	1	0	0	0	1	0	0	0
Lmtk2	3607	2604	2369	2538	3424	1668	2745	2023	2329	2099	5226	6917
Lmtk3	0	2	1	1	3	2	4	3	3	5	3	5
Lmx1a	0	1	1	0	0	1	0	0	0	0	0	0
Lmx1b	3	1	4	3	4	0	2	1	1	1	0	1
Lnp	642	560	896	806	834	436	678	637	617	640	771	1156
Lnpep	5234	4626	8634	8113	7583	4381	7678	6809	6274	6346	4828	7031
Lnx1	10	3	1	3	1	1	0	0	2	0	2	5
Lnx2	925	655	655	741	885	410	536	444	455	530	1463	1936
Loh12cr1	230	199	248	165	476	148	348	202	314	181	344	381
Lonp1	6995	6727	4934	5629	6620	5036	5699	4360	3897	3745	8349	10359
Lonp2	971	748	921	892	983	750	766	626	547	522	1040	1286
Lonrf1	93	80	74	122	111	74	99	44	53	63	177	229
Lonrf2	4	1	2	0	0	1	0	1	0	1	1	1
Lonrf3	5	0	0	0	7	0	0	0	0	0	0	0
Lor	0	2	0	0	0	0	0	0	0	0	4	2
Lox	0	0	0	0	0	0	0	0	0	0	0	0
Loxhd1	0	0	0	0	2	0	0	0	0	0	0	0
Loxl1	1	0	0	0	0	0	0	0	0	0	1	5
Loxl2	44	66	21	34	38	46	36	26	24	36	94	132
Loxl3	4	7	12	2	11	4	6	12	4	4	12	23
Loxl4	1	1	1	2	1	0	3	3	0	1	7	7
Lpar1	0	0	0	0	0	0	0	0	0	0	0	0
Lpar2	97	56	95	78	84	36	74	37	68	71	322	401
Lpar3	1	0	0	0	0	1	1	0	1	0	1	4
Lpar4	0	0	0	0	0	0	0	0	0	0	0	0
Lpar5	346	270	492	364	875	227	394	303	413	291	415	594
Lpar6	44	56	56	49	66	26	42	33	53	74	54	83
Lpcat1	1847	1422	1844	2146	2476	1621	1995	1589	1770	1484	2437	3260
Lpcat2	0	0	0	0	0	0	0	1	0	0	0	0
Lpcat2b	0	0	0	0	0	0	0	0	0	0	0	0
Lpcat3	1154	1260	1835	1122	2080	944	1978	1594	1493	1126	1409	1848
Lpcat4	889	698	464	839	971	605	389	297	576	413	1028	1153
Lpgat1	1096	804	1766	1556	1634	722	1819	1607	1180	1200	1349	1920
Lphn1	1434	660	984	1032	1306	718	905	655	800	567	1660	2053
Lphn2	8	117	2	102	46	21	0	0	0	3	8	0
Lphn3	1	3	0	4	4	0	0	0	1	2	6	6
Lpin1	13	96	32	15	51	18	40	30	16	41	29	53
Lpin2	715	585	842	650	855	450	983	682	597	626	1196	1773
Lpin3	0	0	0	1	0	0	0	0	0	0	0	1
Lpl	30	26	40	40	38	28	35	23	18	28	86	129
Lpo	1	0	0	0	0	0	0	0	0	0	0	0
Lpp	99	157	123	174	91	74	71	87	58	90	112	149
Lppr1	4	3	4	2	8	1	7	3	2	1	0	0
Lppr2	3	0	0	0	6	0	0	0	0	1	0	0
Lppr3	65	61	37	35	51	39	38	21	28	44	0	0
Lppr4	2	0	1	1	1	0	0	0	0	0	0	0
Lppr5	1	0	0	0	0	0	0	0	0	0	0	0
Lpxn	427	320	371	579	504	383	245	214	285	308	768	838
Lrat	0	0	1	0	0	0	0	0	0	0	0	0
Lrba	1586	1256	1442	1228	1536	895	1117	866	751	906	1685	2189
Lrch1	1040	712	1040	1124	1200	694	883	673	672	768	782	1054
Lrch2	0	0	0	0	0	0	0	0	0	0	0	0
Lrch3	371	361	499	468	438	279	426	347	204	343	324	454
Lrch4	9	10	4	4	10	3	3	4	0	2	28	39
Lrcol1	0	0	0	0	1	0	0	0	0	0	0	0
Lrfn1	113	127	85	149	193	106	72	70	63	62	147	207
Lrfn2	0	0	0	0	2	0	0	0	0	0	0	0
Lrfn3	0	1	0	3	1	2	0	0	0	0	0	0
Lrfn4	67	56	12	84	27	64	9	8	7	14	96	153
Lrfn5	2	2	4	4	3	6	8	2	6	4	3	2
Lrg1	1	0	0	0	0	0	0	0	0	0	0	0
Lrguk	2	6	0	1	5	0	3	4	2	1	5	5
Lrif1	207	259	334	417	408	194	197	187	300	366	199	344
Lrig1	151	241	252	162	430	84	236	152	225	127	354	519
Lrig2	571	502	460	744	600	413	477	389	330	433	953	1374
Lrig3	173	223	354	309	425	214	281	234	283	185	476	606
Lrit1	0	0	0	0	0	0	0	2	0	0	0	0
Lrit2	0	0	0	0	0	0	0	0	0	0	0	0
Lrit3	0	0	0	2	0	0	0	0	3	0	0	0
Lrmp	15423	12349	24082	15047	28533	11248	26710	20761	17113	15453	17879	23007
Lrp1	6	2	2	4	6	2	12	2	2	0	5	46
Lrp10	3447	2872	3003	3020	3820	2415	2995	2462	2723	2495	6420	7196
Lrp11	9	5	8	0	7	3	6	8	6	4	5	7
Lrp12	0	0	0	2	0	0	0	1	0	0	0	0
Lrp1b	7	1	7	1	6	4	3	1	0	2	11	14
Lrp2	1	0	1	1	2	3	2	4	0	0	3	2
Lrp2bp	6	8	16	2	10	6	2	5	3	4	17	25
Lrp3	0	2	0	0	0	0	0	0	0	0	0	0
Lrp4	1	3	1	2	3	0	0	3	9	0	3	11
Lrp5	146	78	71	47	44	107	171	135	22	83	404	717
Lrp6	1602	1536	3184	2359	3685	1287	3537	2857	2628	2039	1658	2377
Lrp8	78	119	108	127	117	91	117	122	73	68	163	240
Lrp8os1	2	0	1	0	0	0	0	1	2	0	0	0
Lrp8os2	0	0	0	3	1	0	0	0	0	1	0	0
Lrp8os3	0	0	0	1	0	0	0	0	0	0	0	0
Lrpap1	593	699	677	591	790	404	815	592	484	408	703	806
Lrpprc	3162	4432	5350	5136	5227	3570	4277	3757	3640	3332	2691	3335
Lrr1	112	128	145	155	178	103	139	124	122	120	264	288
Lrrc1	120	116	145	141	148	69	134	113	91	106	133	200
Lrrc10	2	0	0	0	0	0	1	0	3	0	1	4
Lrrc10b	4	4	5	2	6	2	4	5	4	5	3	5
Lrrc14	565	418	490	476	650	309	457	326	374	307	1495	1707
Lrrc15	0	0	0	0	0	0	0	0	0	0	0	0
Lrrc16a	152	278	207	75	153	69	437	363	363	400	370	449
Lrrc16b	4	2	2	6	2	2	1	2	2	5	6	6
Lrrc17	3	4	1	2	3	1	1	3	1	0	2	4
Lrrc18	18	37	27	21	26	17	25	17	21	17	49	70
Lrrc19	0	1	3	0	0	1	0	0	4	0	4	4
Lrrc2	18	11	15	10	13	7	14	5	14	9	19	44
Lrrc20	578	473	424	517	844	412	539	389	566	479	635	794
Lrrc23	0	1	0	0	0	0	0	0	0	0	0	0
Lrrc24	457	420	375	384	602	237	350	265	461	295	12	14
Lrrc25	1	1	8	0	1	0	4	9	3	2	0	2
Lrrc27	4	13	7	2	7	4	20	1	7	12	9	6
Lrrc28	53	64	82	64	109	57	88	62	47	59	65	101
Lrrc29	42	38	22	19	47	27	8	6	13	13	77	86
Lrrc3	11	12	12	5	15	5	6	5	6	7	13	20
Lrrc31	1	1	2	0	3	1	2	1	0	0	0	1
Lrrc32	0	62	0	6	63	19	1	0	4	3	1	7
Lrrc34	1	0	0	2	0	0	0	0	0	1	0	0
Lrrc36	0	0	0	1	0	0	0	1	4	0	0	0
Lrrc37a	3	0	1	1	0	0	0	0	1	0	0	0
Lrrc38	1	1	0	0	0	0	0	0	0	0	0	0
Lrrc39	8	13	8	11	8	12	18	4	11	9	22	17
Lrrc3b	0	0	0	0	0	0	0	0	0	0	0	0
Lrrc4	13	16	20	20	25	13	31	29	20	16	33	51
Lrrc40	2361	3132	2199	3386	3224	2092	1481	1395	1676	1710	1445	1915
Lrrc41	1643	1444	961	1197	1419	1043	691	682	794	768	1992	2073
Lrrc42	303	252	223	348	311	256	289	204	183	196	542	680
Lrrc43	0	0	0	0	0	0	0	0	0	0	0	2
Lrrc45	648	425	487	515	667	356	578	386	489	350	901	1234
Lrrc46	2	0	2	2	1	1	1	0	0	0	3	5
Lrrc47	2428	2274	1878	2117	2583	1435	1669	1466	1598	1358	3030	3331
Lrrc48	14	28	13	21	20	10	9	13	25	10	30	46
Lrrc49	49	54	40	37	62	2	40	33	13	24	21	34
Lrrc4b	1	0	0	0	1	0	0	0	0	0	0	1
Lrrc4c	1	0	14	1	3	1	5	9	5	8	1	1
Lrrc51	18	14	5	8	8	3	14	4	4	7	27	44
Lrrc55	0	0	0	0	0	0	0	1	0	0	0	0
Lrrc56	44	33	33	26	72	19	44	29	35	44	45	80
Lrrc57	101	61	115	113	115	82	99	96	112	64	153	186
Lrrc58	3896	3342	4691	4634	5199	3297	6119	4619	4976	4213	3545	4949
Lrrc59	4818	3836	5199	4938	6077	2662	4495	3653	3585	2426	5720	7258
Lrrc6	1	0	0	0	0	0	0	0	0	0	0	0
Lrrc61	107	204	124	145	339	137	142	111	214	136	213	284
Lrrc63	2	0	1	1	0	0	1	0	1	2	1	1
Lrrc66	0	0	0	2	0	0	1	0	1	0	0	0
Lrrc69	2	1	0	0	0	0	0	0	0	0	1	0
Lrrc7	0	2	0	0	0	0	0	0	0	0	0	1
Lrrc71	1	2	1	1	6	2	1	1	0	0	6	4
Lrrc72	0	0	0	0	0	0	0	0	0	0	0	0
Lrrc73	16	18	7	10	28	7	11	4	11	9	30	41
Lrrc74a	0	0	1	0	0	0	0	2	0	0	0	0
Lrrc74b	1	2	1	4	3	0	2	1	5	1	0	0
Lrrc75a	71	84	66	150	101	66	64	46	62	68	0	0
Lrrc75aos1	2	2	0	0	3	2	3	1	2	0	0	0
Lrrc75aos2	0	0	0	0	0	0	0	1	0	0	0	0
Lrrc75b	5	4	7	5	9	1	3	3	2	4	0	0
Lrrc8a	167	173	104	151	168	160	141	109	103	137	1675	2084
Lrrc8b	56	148	46	33	51	18	83	53	13	47	86	108
Lrrc8c	320	557	493	703	616	402	487	379	343	348	430	572
Lrrc8d	397	470	401	449	586	304	469	308	396	322	656	913
Lrrc8dos	0	0	0	0	0	1	0	0	0	0	0	0
Lrrc8e	8	11	7	4	6	1	10	1	3	4	17	15
Lrrc9	1	0	0	0	0	0	0	0	0	0	0	0
Lrrcc1	459	454	547	504	604	314	395	397	364	434	245	349
Lrrd1	2	0	0	0	3	0	0	0	0	4	1	4
Lrrfip1	873	590	1384	927	1355	632	1400	1262	1014	1004	1100	1439
Lrrfip2	265	246	396	319	466	180	324	319	274	254	230	299
Lrriq1	0	0	0	1	0	0	0	2	0	0	0	0
Lrriq3	3	15	1	4	6	1	4	1	5	2	1	2
Lrriq4	0	0	1	0	2	0	0	0	0	0	0	0
Lrrk1	2279	1665	2473	2358	3535	1591	2247	1780	2357	1891	2881	3208
Lrrk2	58	94	351	180	92	84	197	186	32	124	217	255
Lrrn1	0	0	0	0	0	0	0	0	0	0	0	0
Lrrn2	0	1	2	0	0	0	0	0	0	0	5	0
Lrrn3	8	14	11	7	3	0	12	7	3	12	6	22
Lrrn4	215	265	356	380	381	259	350	300	294	205	534	658
Lrrn4cl	25	13	9	15	16	7	10	7	9	10	18	28
Lrrtm1	0	1	0	0	0	0	0	0	0	0	0	0
Lrrtm2	1	9	5	14	3	10	4	2	4	2	7	6
Lrrtm3	0	0	0	0	0	0	0	0	0	0	0	0
Lrrtm4	0	0	0	0	0	0	0	0	0	0	0	0
Lrsam1	184	203	198	194	336	116	168	131	126	126	204	239
Lrtm1	0	0	0	2	0	0	0	0	0	0	0	0
Lrtm2	0	3	1	1	4	0	2	0	1	0	0	1
Lrwd1	6982	4565	1992	2726	3177	2231	1514	1360	1685	1585	6991	7471
Lsamp	3	2	4	4	2	1	1	1	1	1	0	0
Lsg1	1309	949	1192	1300	1479	942	1250	1017	1026	951	1168	1533
Lsm1	559	583	430	585	719	369	412	287	321	332	654	813
Lsm10	165	163	166	155	299	123	226	145	125	152	189	238
Lsm11	433	418	393	400	580	312	356	320	320	291	977	1188
Lsm12	1723	1566	2282	2432	2590	1050	1662	1446	1856	1543	1279	1586
Lsm14a	1908	1585	2297	2234	2477	1174	2083	1708	1582	1537	2180	2869
Lsm14b	664	626	843	720	988	491	986	770	599	552	793	1077
Lsm2	1632	1335	1364	1830	2348	1202	1546	1090	1722	1323	1503	1919
Lsm3	1032	1148	2379	1662	2559	923	1926	1749	1934	2170	463	554
Lsm4	5880	6008	4940	4956	7196	2297	3641	2375	2482	2331	4018	5137
Lsm5	189	228	439	264	438	128	257	303	243	261	215	284
Lsm6	1054	948	1164	1107	1419	638	1268	941	849	899	705	878
Lsm7	814	653	459	630	826	413	508	309	336	366	1004	1196
Lsm8	856	962	1310	804	1474	487	1145	844	869	877	0	0
Lsmem1	12	19	26	3	15	19	16	12	8	16	9	22
Lsp1	2954	2749	5029	6245	9172	3743	4937	3434	4356	4225	2187	3481
Lsr	5	13	5	4	11	3	1	2	5	7	4	10
Lss	1485	1968	1250	1032	1951	1006	1239	1095	1033	913	3152	3929
Lst1	2	2	10	7	10	9	2	1	4	1	6	6
Lta	5	7	50	38	38	18	29	22	32	13	24	27
Lta4h	2103	1585	2083	2199	2438	1514	1811	1604	1645	1587	2797	3715
Ltb	193	786	101	980	341	703	78	73	111	254	180	212
Ltb4r1	0	0	1	0	0	0	0	0	0	0	1	0
Ltb4r2	0	0	1	0	1	0	1	0	0	0	0	0
Ltbp1	11	21	19	8	16	17	21	13	12	12	110	110
Ltbp2	1	4	3	1	5	0	1	7	1	0	1	2
Ltbp3	1	3	6	2	2	2	5	2	5	9	3	2
Ltbp4	347	187	1658	455	906	184	1175	790	392	549	544	712
Ltbr	0	0	0	0	0	0	0	0	0	0	0	0
Ltc4s	0	0	1	0	2	0	1	1	0	1	7	14
Ltf	0	0	1	0	0	0	0	0	0	0	0	0
Ltk	94	99	45	92	60	54	24	15	26	43	323	386
Ltn1	1814	1437	2240	1993	2180	1303	1832	1681	1634	1566	3212	4345
Ltv1	1256	1059	1301	1234	1458	856	1314	1141	1241	1080	1036	1238
Luc7l	1288	1193	1095	1415	1393	879	1066	826	844	961	2799	3869
Luc7l2	2948	3271	6508	3987	5665	2070	4556	4440	3906	3763	2147	3002
Luc7l3	1659	1599	2161	1956	2103	1094	1478	1704	1369	1621	1875	2560
Lum	2	0	0	0	0	0	0	1	0	0	0	0
Lurap1	34	38	10	26	21	36	26	22	22	37	23	41
Lurap1l	0	0	0	0	0	0	0	0	0	0	0	0
Luzp1	805	509	759	951	1362	679	905	668	866	942	1044	1404
Luzp2	0	0	0	0	0	0	0	0	0	0	0	0
Luzp4	0	0	0	0	0	0	0	0	0	0	0	0
Lxn	28	48	630	77	32	7	287	278	51	296	96	95
Ly6a	3	1	4	2	3	3	10	4	4	8	0	1
Ly6c1	0	2	0	0	0	0	1	3	0	1	0	0
Ly6c2	4	3	31	6	32	8	24	11	34	19	0	0
Ly6d	266	30	1475	80	645	106	2691	1749	596	1579	16	14
Ly6e	7062	6494	14877	11323	21608	7038	17185	11643	15256	11297	7410	9368
Ly6f	0	0	1	0	0	0	0	0	0	0	0	0
Ly6g	1	0	0	0	0	0	0	0	0	0	0	0
Ly6g5b	9	1	4	3	10	3	4	1	4	4	10	13
Ly6g5c	0	0	0	0	0	0	0	0	0	0	0	0
Ly6g6c	0	0	1	0	0	0	2	0	0	0	2	2
Ly6g6d	0	0	0	2	0	0	0	0	0	0	0	0
Ly6g6e	0	0	1	0	0	0	0	0	0	0	0	0
Ly6g6f	0	0	0	0	0	1	0	0	0	0	0	0
Ly6h	6	3	7	5	6	3	3	3	3	1	2	2
Ly6i	0	0	2	1	1	0	0	1	0	0	0	0
Ly6k	0	0	0	0	1	0	0	0	0	0	0	0
Ly75	448	372	548	326	400	98	524	444	287	297	89	163
Ly86	1645	1207	2532	2066	2412	1149	2131	1701	1536	1648	1258	1722
Ly9	1437	1261	1850	1943	1413	1353	1979	1687	1498	1635	2046	2651
Ly96	14	16	46	29	53	22	68	50	40	23	26	36
Lyar	7663	10377	7776	8008	7378	5139	6739	7047	5576	5168	2540	3206
Lyg2	0	0	0	0	0	0	0	0	1	0	0	1
Lyl1	3664	2984	4394	4191	6245	2640	3314	2847	3664	2983	5677	7089
Lyn	2003	1409	2640	2206	2327	1363	2638	2076	1746	1920	1783	2323
Lynx1	9	9	64	21	38	9	89	60	22	54	6	3
Lypd1	8	3	3	10	9	5	8	6	3	10	11	18
Lypd2	0	0	0	0	0	0	0	0	0	0	0	0
Lypd3	0	0	0	1	0	0	0	0	0	0	0	2
Lypd4	1	0	0	0	0	0	0	0	0	0	0	0
Lypd6	0	0	0	0	0	0	0	0	0	0	0	0
Lypd6b	0	0	0	0	0	0	0	0	0	0	0	0
Lypd8	0	0	0	0	0	0	0	0	0	0	0	0
Lypla1	434	387	478	453	693	395	674	574	475	504	897	1275
Lypla2	1842	1392	1234	1513	2224	1047	1025	845	1171	1006	2884	3036
Lyplal1	0	0	0	0	0	0	0	0	0	0	0	0
Lyrm1	44	48	41	60	54	28	42	27	48	36	19	37
Lyrm2	56	69	81	83	92	58	77	53	53	81	55	81
Lyrm4	221	240	290	267	273	170	225	264	253	223	196	252
Lyrm5	88	107	164	118	235	68	148	123	146	129	59	74
Lyrm7	35	47	60	81	79	28	35	37	45	49	15	25
Lyrm9	299	286	228	276	284	210	275	146	218	196	389	415
Lysmd1	189	195	102	215	238	114	83	73	87	95	312	468
Lysmd2	216	147	50	238	21	75	47	46	7	37	136	212
Lysmd3	265	238	460	443	569	233	435	405	396	450	216	301
Lysmd4	202	178	192	184	267	126	269	180	202	153	165	203
Lyst	417	274	774	539	657	270	671	493	463	472	465	728
Lyve1	1	0	0	0	0	0	0	1	0	0	0	0
Lyz1	0	0	0	0	0	0	0	1	0	0	0	0
Lyz2	0	0	0	1	0	0	0	2	0	0	0	0
Lyzl4	2	0	0	0	0	0	0	0	0	0	0	0
Lyzl4os	0	0	0	0	0	0	0	0	0	0	0	0
Lyzl6	0	0	0	0	0	0	0	0	0	0	0	0
Lzic	760	522	619	775	891	366	563	426	481	407	1235	1559
Lztfl1	119	118	184	146	135	81	114	108	115	110	169	256
Lztr1	1436	1661	1127	1271	1677	924	888	764	850	842	2521	2981
Lzts1	26	21	20	13	25	5	21	14	16	24	0	0
Lzts2	14	23	5	3	17	6	2	2	11	8	33	51
Lzts3	114	85	32	97	102	44	24	23	52	41	78	83
M1ap	31	37	33	16	89	29	41	18	52	26	45	38
M5C1000I18Rik	0	0	0	0	1	0	0	0	0	0	0	0
M6pr	3899	3784	6232	4271	6990	3047	6382	5180	5034	3807	4103	5766
M6pr-ps	217	182	317	203	380	126	320	255	266	189	304	419
Maats1	51	47	45	42	58	32	28	38	32	33	70	109
Maats1os	0	0	0	0	0	0	0	0	0	0	0	0
Mab21l1	0	0	1	0	1	0	0	0	0	0	0	0
Mab21l2	1	2	2	0	6	0	0	0	0	0	18	22
Mab21l3	0	0	0	0	0	0	0	0	0	0	0	0
Macc1	0	0	0	0	0	0	0	0	0	0	0	0
Macf1	4141	5352	4520	7018	6493	5128	3617	2494	3270	3438	5558	7375
Macrod1	281	410	348	361	507	283	316	312	301	236	455	556
Macrod2	1	1	0	1	0	0	0	0	0	0	1	1
Macrod2os1	27	35	39	30	29	14	26	14	10	28	0	0
Macrod2os2	0	0	0	0	0	0	0	0	0	0	0	0
Mad1l1	1867	1062	978	924	1175	756	959	722	643	643	1122	1494
Mad2l1	2592	2586	6093	3320	5167	1933	5670	5708	5080	4932	1814	2564
Mad2l1bp	228	186	228	262	362	181	272	194	199	195	438	656
Mad2l2	427	397	454	529	672	396	510	373	496	396	486	599
Madcam1	0	1	0	0	0	0	1	0	0	0	1	1
Madd	1533	1083	1304	1526	2366	1150	1411	1052	1285	1121	2275	2835
Maea	2638	2708	2153	2118	3167	1700	2241	1800	2277	1856	3556	4662
Mael	0	0	0	0	0	0	0	0	0	0	0	0
Maf	0	0	2	0	1	2	4	0	5	4	4	3
Maf1	1384	1410	1397	1712	2215	945	1233	876	1150	1112	2691	3600
Mafa	2	1	3	1	1	0	2	1	5	0	0	0
Mafb	9	3	4	7	8	6	7	3	4	5	2	2
Maff	50	68	52	80	78	52	36	47	39	23	117	126
Mafg	1336	977	964	1208	1569	703	1006	755	899	755	3018	3515
Mafk	1629	1160	1110	1295	1499	620	868	685	815	600	2271	3190
Mag	107	153	45	50	231	35	33	21	151	116	239	339
Magea6	0	0	0	0	0	0	0	0	0	0	0	0
Magea7-ps	0	0	0	0	0	0	0	0	0	0	0	0
Magea8	0	0	0	0	0	0	0	0	0	0	0	0
Mageb1	0	0	0	0	0	0	0	0	0	2	0	0
Mageb16	0	0	0	0	0	0	0	0	0	0	0	0
Mageb18	0	0	0	0	0	0	0	0	0	0	1	0
Mageb2	0	0	0	0	0	0	1	0	0	0	0	0
Mageb3	4	0	1	0	0	3	0	0	0	2	0	0
Mageb4	0	0	0	0	0	0	0	0	0	0	0	0
Mageb6-ps	0	0	0	0	0	0	0	0	0	0	0	0
Mageb7-ps	0	0	0	0	0	0	0	0	0	0	0	0
Mageb8-ps	0	0	0	0	0	0	0	0	0	0	0	0
Maged1	9	9	13	16	5	2	10	16	3	16	9	15
Maged2	0	2	2	6	2	5	1	0	7	1	6	4
Magee1	6	3	4	6	5	7	3	8	5	7	4	8
Magee2	8	1	7	11	7	7	5	8	6	1	1	14
